x_value,total_1,total_2
0,1000,1000
1,1001,1002
2,1002,1005
3,1007,1008
4,1003,1013
5,1009,1017
6,1008,1016
7,1006,1018
8,1013,1013
9,1013,1015
10,1015,1018
11,1022,1014
12,1018,1013
13,1026,1018
14,1033,1014
15,1033,1014
16,1032,1009
17,1034,1013
18,1034,1010
19,1035,1006
20,1036,1005
21,1035,1009
22,1030,1007
23,1024,1008
24,1032,1011
25,1040,1015
26,1037,1021
27,1044,1024
28,1041,1021
29,1039,1017
30,1045,1016
31,1051,1014
32,1056,1019
33,1057,1014
34,1053,1015
35,1058,1017
36,1055,1019
37,1052,1016
38,1048,1013
39,1046,1019
40,1046,1025
41,1045,1028
42,1046,1028
43,1044,1028
44,1052,1023
45,1054,1026
46,1059,1032
47,1053,1032
48,1049,1028
49,1047,1030
50,1054,1030
51,1055,1030
52,1054,1034
53,1060,1030
54,1061,1033
55,1069,1030
